a72,a73,a4,a24,a8,a63,a1,a82,a6,a7,a62,a2,Result
0,0,0,1,0,1,0,1,0,1,1,1,1120
0,0,0,1,0,1,0,1,1,0,0,0,580
0,0,0,1,0,1,0,1,1,0,0,1,1080
0,0,0,1,0,1,0,1,1,0,1,0,610
0,0,0,1,0,1,0,1,1,0,1,1,1110
0,0,0,1,0,1,0,1,1,1,0,0,620
0,0,0,1,0,1,0,1,1,1,0,1,1120
0,0,0,1,0,1,0,1,1,1,1,0,650
0,0,0,1,0,1,0,1,1,1,1,1,1150
0,0,0,1,0,1,1,0,0,0,0,0,630
0,0,0,1,0,1,1,0,0,0,0,1,1130
0,0,0,1,0,1,1,0,0,0,1,0,660
0,0,0,1,0,1,1,0,0,0,1,1,1160
0,0,0,1,0,1,1,0,0,1,0,0,670
0,0,0,1,0,1,1,0,0,1,0,1,1170
0,0,0,1,0,1,1,0,0,1,1,0,700
0,0,0,1,0,1,1,0,0,1,1,1,1200
0,0,0,1,0,1,1,0,1,0,0,0,660
0,0,0,1,0,1,1,0,1,0,0,1,1160
0,0,0,1,0,1,1,0,1,0,1,0,690
0,0,0,1,0,1,1,0,1,0,1,1,1190
0,0,0,1,0,1,1,0,1,1,0,0,700
0,0,0,1,0,1,1,0,1,1,0,1,1200
0,0,0,1,0,1,1,0,1,1,1,0,730
0,0,0,1,0,1,1,0,1,1,1,1,1230
0,0,0,1,0,1,1,1,0,0,0,0,650
0,0,0,1,0,1,1,1,0,0,0,1,1150
0,0,0,1,0,1,1,1,0,0,1,0,680
0,0,0,1,0,1,1,1,0,0,1,1,1180
0,0,0,1,0,1,1,1,0,1,0,0,690
0,0,0,1,0,1,1,1,0,1,0,1,1190
0,0,0,1,0,1,1,1,0,1,1,0,720
0,0,0,1,0,1,1,1,0,1,1,1,1220
0,0,0,1,0,1,1,1,1,0,0,0,680
0,0,0,1,0,1,1,1,1,0,0,1,1180
0,0,0,1,0,1,1,1,1,0,1,0,710
0,0,0,1,0,1,1,1,1,0,1,1,1210
0,0,0,1,0,1,1,1,1,1,0,0,720
0,0,0,1,0,1,1,1,1,1,0,1,1220
0,0,0,1,0,1,1,1,1,1,1,0,750
0,0,0,1,0,1,1,1,1,1,1,1,1250
0,0,0,1,1,0,0,0,0,0,0,0,520
0,0,0,1,1,0,0,0,0,0,0,1,1020
0,0,0,1,1,0,0,0,0,0,1,0,550
0,0,0,1,1,0,0,0,0,0,1,1,1050
0,0,0,1,1,0,0,0,0,1,0,0,560
0,0,0,1,1,0,0,0,0,1,0,1,1060
0,0,0,1,1,0,0,0,0,1,1,0,590
0,0,0,1,1,0,0,0,0,1,1,1,1090
0,0,0,1,1,0,0,0,1,0,0,0,550
0,0,0,1,1,0,0,0,1,0,0,1,1050
0,0,0,1,1,0,0,0,1,0,1,0,580
0,0,0,1,1,0,0,0,1,0,1,1,1080
0,0,0,1,1,0,0,0,1,1,0,0,590
0,0,0,1,1,0,0,0,1,1,0,1,1090
0,0,0,1,1,0,0,0,1,1,1,0,620
0,0,0,1,1,0,0,0,1,1,1,1,1120
0,0,0,1,1,0,0,1,0,0,0,0,540
0,0,0,1,1,0,0,1,0,0,0,1,1040
0,0,0,1,1,0,0,1,0,0,1,0,570
0,0,0,1,1,0,0,1,0,0,1,1,1070
0,0,0,1,1,0,0,1,0,1,0,0,580
0,0,0,1,1,0,0,1,0,1,0,1,1080
0,0,0,1,1,0,0,1,0,1,1,0,610
0,0,0,1,1,0,0,1,0,1,1,1,1110
0,0,0,1,1,0,0,1,1,0,0,0,570
0,0,0,1,1,0,0,1,1,0,0,1,1070
0,0,0,1,1,0,0,1,1,0,1,0,600
0,0,0,1,1,0,0,1,1,0,1,1,1100
0,0,0,1,1,0,0,1,1,1,0,0,610
0,0,0,1,1,0,0,1,1,1,0,1,1110
0,0,0,1,1,0,0,1,1,1,1,0,640
0,0,0,1,1,0,0,1,1,1,1,1,1140
0,0,0,1,1,0,1,0,0,0,0,0,620
0,0,0,1,1,0,1,0,0,0,0,1,1120
0,0,0,1,1,0,1,0,0,0,1,0,650
0,0,0,1,1,0,1,0,0,0,1,1,1150
0,0,0,1,1,0,1,0,0,1,0,0,660
0,0,0,1,1,0,1,0,0,1,0,1,1160
0,0,0,1,1,0,1,0,0,1,1,0,690
0,0,0,1,1,0,1,0,0,1,1,1,1190
0,0,0,1,1,0,1,0,1,0,0,0,650
0,0,0,1,1,0,1,0,1,0,0,1,1150
0,0,0,1,1,0,1,0,1,0,1,0,680
0,0,0,1,1,0,1,0,1,0,1,1,1180
0,0,0,1,1,0,1,0,1,1,0,0,690
0,0,0,1,1,0,1,0,1,1,0,1,1190
0,0,0,1,1,0,1,0,1,1,1,0,720
0,0,0,1,1,0,1,0,1,1,1,1,1220
0,0,0,1,1,0,1,1,0,0,0,0,640
0,0,0,1,1,0,1,1,0,0,0,1,1140
0,0,0,1,1,0,1,1,0,0,1,0,670
0,0,0,1,1,0,1,1,0,0,1,1,1170
0,0,0,1,1,0,1,1,0,1,0,0,680
0,0,0,1,1,0,1,1,0,1,0,1,1180
0,0,0,1,1,0,1,1,0,1,1,0,710
0,0,0,1,1,0,1,1,0,1,1,1,1210
0,0,0,1,1,0,1,1,1,0,0,0,670
0,0,0,1,1,0,1,1,1,0,0,1,1170
0,0,0,1,1,0,1,1,1,0,1,0,700
0,0,0,1,1,0,1,1,1,0,1,1,1200
0,0,0,1,1,0,1,1,1,1,0,0,710
0,0,0,1,1,0,1,1,1,1,0,1,1210
0,0,0,1,1,0,1,1,1,1,1,0,740
0,0,0,1,1,0,1,1,1,1,1,1,1240
0,0,0,1,1,1,0,0,0,0,0,0,550
0,0,0,1,1,1,0,0,0,0,0,1,1050
0,0,0,1,1,1,0,0,0,0,1,0,580
0,0,0,1,1,1,0,0,0,0,1,1,1080
0,0,0,1,1,1,0,0,0,1,0,0,590
0,0,0,1,1,1,0,0,0,1,0,1,1090
0,0,0,1,1,1,0,0,0,1,1,0,620
0,0,0,1,1,1,0,0,0,1,1,1,1120
0,0,0,1,1,1,0,0,1,0,0,0,580
0,0,0,1,1,1,0,0,1,0,0,1,1080
0,0,0,1,1,1,0,0,1,0,1,0,610
0,0,0,1,1,1,0,0,1,0,1,1,1110
0,0,0,1,1,1,0,0,1,1,0,0,620
0,0,0,1,1,1,0,0,1,1,0,1,1120
0,0,0,1,1,1,0,0,1,1,1,0,650
0,0,0,1,1,1,0,0,1,1,1,1,1150
0,0,0,1,1,1,0,1,0,0,0,0,570
0,0,0,1,1,1,0,1,0,0,0,1,1070
0,0,0,1,1,1,0,1,0,0,1,0,600
0,0,0,1,1,1,0,1,0,0,1,1,1100
0,0,0,1,1,1,0,1,0,1,0,0,610
0,0,0,1,1,1,0,1,0,1,0,1,1110
0,0,0,1,1,1,0,1,0,1,1,0,640
0,0,0,1,1,1,0,1,0,1,1,1,1140
0,0,0,1,1,1,0,1,1,0,0,0,600
0,0,0,1,1,1,0,1,1,0,0,1,1100
0,0,0,1,1,1,0,1,1,0,1,0,630
0,0,0,1,1,1,0,1,1,0,1,1,1130
0,0,0,1,1,1,0,1,1,1,0,0,640
0,0,0,1,1,1,0,1,1,1,0,1,1140
0,0,0,1,1,1,0,1,1,1,1,0,670
0,0,0,1,1,1,0,1,1,1,1,1,1170
0,0,0,1,1,1,1,0,0,0,0,0,650
0,0,0,1,1,1,1,0,0,0,0,1,1150
0,0,0,1,1,1,1,0,0,0,1,0,680
0,0,0,1,1,1,1,0,0,0,1,1,1180
0,0,0,1,1,1,1,0,0,1,0,0,690
0,0,0,1,1,1,1,0,0,1,0,1,1190
0,0,0,1,1,1,1,0,0,1,1,0,720
0,0,0,1,1,1,1,0,0,1,1,1,1220
0,0,0,1,1,1,1,0,1,0,0,0,680
0,0,0,1,1,1,1,0,1,0,0,1,1180
0,0,0,1,1,1,1,0,1,0,1,0,710
0,0,0,1,1,1,1,0,1,0,1,1,1210
0,0,0,1,1,1,1,0,1,1,0,0,720
0,0,0,1,1,1,1,0,1,1,0,1,1220
0,0,0,1,1,1,1,0,1,1,1,0,750
